LAS	LAS	airport	McCarran International	36.08	-115.15222	Las Vegas	LAS	United States	US	America/Los_Angeles
LHR	LHR	airport	Heathrow	51.4775	-0.461389	London	LON	United Kingdom	GB	Europe/London
LTN	LTN	airport	Luton	51.874722	-0.368333	London	LON	United Kingdom	GB	Europe/London
LGW	LGW	airport	Gatwick	51.148056	-0.190278	London	LON	United Kingdom	GB	Europe/London
LIS	LIS	airport	Lisbon Portela	38.774167	-9.134167	Lisbon	LIS	Portugal	PT	Europe/Lisbon
VIE	VIE	airport	Vienna International	48.110278	16.578056	Vienna	VIE	Austria	AT	Europe/Vienna
CGN	CGN	airport	Cologne Bonn Airport	50.865833	7.142778	Cologne	CGN	Germany	DE	Europe/Berlin
AKL	AKL	airport	Auckland	-37.009722	174.791667	Auckland	AKL	New Zealand	NZ	Pacific/Auckland
ALC	ALC	airport	Alicante–Elche	38.282222	-0.558056	Alicante	ALC	Spain	ES	Europe/Madrid
BHX	BHX	airport	Birmingham	52.453611	-1.747778	Birmingham	BHX	United Kingdom	GB	Europe/London
CUN	CUN	airport	Cancún International	21.036667	-86.877222	Cancún	CUN	Mexico	MX	America/Cancun
YVR	YVR	airport	Vancouver International	49.193889	-123.18444	Vancouver	YVR	Canada	CA	America/Vancouver
EWR	EWR	airport	Newark Liberty International	40.6925	-74.168611	New York City	NYC	United States	US	America/New_York
MEX	MEX	airport	Mexico City International	19.436389	-99.072222	Mexico City	MEX	Mexico	MX	America/Mexico_City
CTU	CTU	airport	Chengdu Shuangliu International	30.578611	103.947222	Chengdu	CTU	China	CN	Asia/Shanghai
DFW	DFW	airport	Dallas/Fort Worth International	32.896944	-97.038056	Dallas	DFW	United States	US	America/Chicago
DEL	DEL	airport	Indira Gandhi International	28.566389	77.103056	New Delhi	DEL	India	IN	Asia/Calcutta
PMI	PMI	airport	Palma de Mallorca	39.551667	2.738889	Palma, Majorca	PMI	Spain	ES	Europe/Madrid
EDI	EDI	airport	Edinburgh	55.95	-3.3725	Edinburgh	EDI	United Kingdom	GB	Europe/London
FLL	FLL	airport	Fort Lauderdale–Hollywood International	26.0725	-80.152778	Fort Lauderdale	FLL	United States	US	America/New_York
FCO	FCO	airport	Leonardo da Vinci–Fiumicino Airport	41.800278	12.238889	Rome	ROM	Italy	IT	Europe/Rome
SZX	SZX	airport	Shenzhen Bao an International	22.639167	113.810556	Shenzhen	SZX	China	CN	Asia/Shanghai
